record_id,date,region,province,item_id,item_name,category,customer_type,quantity,amount,profit
EC-2026-01-001,2026-01-08,华东,上海,1001,智能穿戴旗舰款,数码家电,会员用户,12,29988,6897
EC-2026-01-002,2026-01-12,华东,上海,1002,家庭清洁套装,家居百货,新客,44,17556,5442
EC-2026-01-003,2026-01-18,华南,广东,1003,运动营养组合,运动健康,复购用户,31,18569,6685
EC-2026-01-004,2026-01-21,华南,广东,1004,云端办公年卡,数字服务,企业用户,18,14382,8917
EC-2026-01-005,2026-01-25,华北,北京,1005,美妆礼盒,美妆个护,会员用户,27,18873,7738
EC-2026-01-006,2026-01-28,华北,北京,1006,厨房精选组合,食品生鲜,新客,52,15548,4353
EC-2026-02-007,2026-02-06,华东,上海,1001,智能穿戴旗舰款,数码家电,会员用户,14,34986,8047
EC-2026-02-008,2026-02-11,华东,上海,1004,云端办公年卡,数字服务,企业用户,21,16779,10403
EC-2026-02-009,2026-02-16,华南,广东,1002,家庭清洁套装,家居百货,新客,48,19152,5937
EC-2026-02-010,2026-02-19,华南,广东,1005,美妆礼盒,美妆个护,会员用户,26,18174,7451
EC-2026-02-011,2026-02-23,华北,北京,1003,运动营养组合,运动健康,复购用户,36,21564,7763
EC-2026-02-012,2026-02-27,华北,北京,1006,厨房精选组合,食品生鲜,新客,61,18239,5107
EC-2026-03-013,2026-03-05,华东,上海,1001,智能穿戴旗舰款,数码家电,会员用户,17,42483,9771
EC-2026-03-014,2026-03-10,华东,上海,1003,运动营养组合,运动健康,复购用户,38,22762,8194
EC-2026-03-015,2026-03-15,华南,广东,1004,云端办公年卡,数字服务,企业用户,22,17578,10898
EC-2026-03-016,2026-03-20,华南,广东,1006,厨房精选组合,食品生鲜,新客,56,16744,4688
EC-2026-03-017,2026-03-24,华北,北京,1002,家庭清洁套装,家居百货,新客,51,20349,6308
EC-2026-03-018,2026-03-29,华北,北京,1005,美妆礼盒,美妆个护,会员用户,32,22368,9171
EC-2026-04-019,2026-04-07,华东,上海,1004,云端办公年卡,数字服务,企业用户,24,19176,11889
EC-2026-04-020,2026-04-12,华东,上海,1006,厨房精选组合,食品生鲜,新客,63,18837,5274
EC-2026-04-021,2026-04-17,华南,广东,1001,智能穿戴旗舰款,数码家电,会员用户,11,27489,6322
EC-2026-04-022,2026-04-21,华南,广东,1003,运动营养组合,运动健康,复购用户,29,17371,6254
EC-2026-04-023,2026-04-25,华北,北京,1002,家庭清洁套装,家居百货,新客,58,23142,7174
EC-2026-04-024,2026-04-28,华北,北京,1005,美妆礼盒,美妆个护,会员用户,35,24465,10031
EC-2026-05-025,2026-05-06,华东,上海,1001,智能穿戴旗舰款,数码家电,会员用户,19,47481,10921
EC-2026-05-026,2026-05-11,华东,上海,1005,美妆礼盒,美妆个护,会员用户,41,28659,11750
EC-2026-05-027,2026-05-16,华南,广东,1002,家庭清洁套装,家居百货,新客,53,21147,6556
EC-2026-05-028,2026-05-20,华南,广东,1004,云端办公年卡,数字服务,企业用户,25,19975,12385
EC-2026-05-029,2026-05-24,华北,北京,1003,运动营养组合,运动健康,复购用户,42,25158,9057
EC-2026-05-030,2026-05-28,华北,北京,1006,厨房精选组合,食品生鲜,新客,68,20332,5693
EC-2026-06-031,2026-06-05,华东,上海,1001,智能穿戴旗舰款,数码家电,会员用户,18,44982,10346
EC-2026-06-032,2026-06-10,华东,上海,1004,云端办公年卡,数字服务,企业用户,28,22372,13871
EC-2026-06-033,2026-06-15,华南,广东,1005,美妆礼盒,美妆个护,会员用户,37,25863,10604
EC-2026-06-034,2026-06-19,华南,广东,1006,厨房精选组合,食品生鲜,新客,64,19136,5358
EC-2026-06-035,2026-06-22,华北,北京,1002,家庭清洁套装,家居百货,新客,62,24738,7669
EC-2026-06-036,2026-06-25,华北,北京,1003,运动营养组合,运动健康,复购用户,47,28153,10135
